Weekday_Sensible Weekday_Latent Weekday_Occupancy Weekend_Sensible Weekend_Latent Weekend_Occupancy
0.00080898 0.00095119 1.0 0.00081129 0.00095119 1.0
0.00081322 0.00095297 1.0 0.00081554 0.00095297 1.0
0.00081741 0.00095481 1.0 0.00081976 0.00095481 1.0
0.00082158 0.00095673 1.0 0.00082394 0.00095673 1.0
0.00082571 0.00095871 1.0 0.00082808 0.00095871 1.0
0.00082981 0.00096076 1.0 0.00083218 0.00096076 1.0
0.00083388 0.00096288 1.0 0.00083624 0.00096288 1.0
0.00083791 0.00096507 1.0 0.00084026 0.00096507 1.0
0.00084192 0.00096733 1.0 0.00084425 0.00096733 1.0
0.00084589 0.00096965 1.0 0.00084819 0.00096965 1.0
0.00084982 0.00097205 1.0 0.0008521 0.00097205 1.0
0.00085373 0.00097451 1.0 0.00085597 0.00097451 1.0
0.0008576 0.00097704 1.0 0.0008598 0.00097704 1.0
0.00086144 0.00097964 1.0 0.0008636 0.00097964 1.0
0.00086525 0.0009823 1.0 0.00086735 0.0009823 1.0
0.00086902 0.00098504 1.0 0.00087106 0.00098504 1.0
0.00087276 0.00098784 1.0 0.00087474 0.00098784 1.0
0.00087647 0.00099071 1.0 0.00087838 0.00099071 1.0
0.00088015 0.00099365 1.0 0.00088198 0.00099365 1.0
0.00088379 0.00099666 1.0 0.00088554 0.00099666 1.0
0.0008874 0.00099974 1.0 0.00088906 0.00099974 1.0
0.00089098 0.0010029 1.0 0.00089255 0.0010029 1.0
0.00089453 0.0010061 1.0 0.00089599 0.0010061 1.0
0.00089804 0.0010094 1.0 0.0008994 0.0010094 1.0
0.00090152 0.0010127 1.0 0.00090277 0.0010127 1.0
0.00090497 0.0010162 1.0 0.0009061 0.0010162 1.0
0.00090838 0.0010196 1.0 0.00090939 0.0010196 1.0
0.00091177 0.0010232 1.0 0.00091264 0.0010232 1.0
0.00091512 0.0010268 1.0 0.00091585 0.0010268 1.0
0.00091843 0.0010305 1.0 0.00091903 0.0010305 1.0
0.00092172 0.0010343 1.0 0.00092216 0.0010343 1.0
0.00092497 0.0010381 1.0 0.00092526 0.0010381 1.0
0.00092819 0.001042 1.0 0.00092832 0.001042 1.0
0.00093138 0.001046 1.0 0.00093134 0.001046 1.0
0.00093453 0.00105 1.0 0.00093433 0.00105 1.0
0.00093765 0.0010541 1.0 0.00093727 0.0010541 1.0
0.00094074 0.0010583 1.0 0.00094018 0.0010583 1.0
0.00095668 0.0010916 1.0 0.00095089 0.00108 1.0
0.00096197 0.0010974 1.0 0.00095557 0.0010845 1.0
0.00096712 0.0011029 1.0 0.00096013 0.0010889 1.0
0.00097211 0.0011083 1.0 0.00096458 0.0010932 1.0
0.00097694 0.0011135 1.0 0.00096892 0.0010974 1.0
0.00098162 0.0011185 1.0 0.00097315 0.0011015 1.0
0.00098615 0.0011233 1.0 0.00097726 0.0011055 1.0
0.00099052 0.0011279 1.0 0.00098126 0.0011094 1.0
0.00099474 0.0011323 1.0 0.00098515 0.0011133 1.0
0.0009988 0.0011365 1.0 0.00098893 0.001117 1.0
0.0010027 0.0011405 1.0 0.0009926 0.0011207 1.0
0.0010065 0.0011443 1.0 0.00099615 0.0011243 1.0
0.0010101 0.0011479 1.0 0.00099959 0.0011278 1.0
0.0010135 0.0011513 1.0 0.0010029 0.0011312 1.0
0.0010168 0.0011545 1.0 0.0010061 0.0011345 1.0
0.0010199 0.0011576 1.0 0.0010092 0.0011378 1.0
0.0010229 0.0011604 1.0 0.0010122 0.0011409 1.0
0.0010257 0.001163 1.0 0.0010151 0.001144 1.0
0.0010284 0.0011655 1.0 0.0010179 0.0011469 1.0
0.0010309 0.0011677 1.0 0.0010205 0.0011498 1.0
0.0010333 0.0011698 1.0 0.0010231 0.0011526 1.0
0.0010355 0.0011716 1.0 0.0010255 0.0011553 1.0
0.0010376 0.0011733 1.0 0.0010278 0.0011579 1.0
0.0010395 0.0011747 1.0 0.0010301 0.0011604 1.0
0.0010412 0.001176 1.0 0.0010321 0.0011629 1.0
0.0010428 0.0011771 1.0 0.0010341 0.0011652 1.0
0.0010442 0.0011779 1.0 0.001036 0.0011675 1.0
0.0010455 0.0011786 1.0 0.0010378 0.0011696 1.0
0.0010467 0.0011791 1.0 0.0010394 0.0011717 1.0
0.0010476 0.0011794 1.0 0.0010409 0.0011737 1.0
0.0010485 0.0011795 1.0 0.0010424 0.0011756 1.0
0.0010491 0.0011794 1.0 0.0010437 0.0011774 1.0
0.0010496 0.0011791 1.0 0.0010449 0.0011792 1.0
0.00105 0.0011786 1.0 0.001046 0.0011808 1.0
0.0010502 0.0011779 1.0 0.0010469 0.0011824 1.0
0.0010502 0.001177 1.0 0.0010478 0.0011838 1.0
0.0010501 0.0011759 1.0 0.0010486 0.0011852 1.0
0.0010499 0.0011747 1.0 0.0010492 0.0011865 1.0
0.0010494 0.0011732 1.0 0.0010497 0.0011877 1.0
0.0010489 0.0011715 1.0 0.0010501 0.0011888 1.0
0.0010482 0.0011697 1.0 0.0010504 0.0011898 1.0
0.0010473 0.0011676 1.0 0.0010506 0.0011907 1.0
0.0010462 0.0011654 1.0 0.0010507 0.0011916 1.0
0.0010451 0.0011629 1.0 0.0010507 0.0011923 1.0
0.0010437 0.0011603 1.0 0.0010505 0.001193 1.0
0.0010422 0.0011574 1.0 0.0010503 0.0011936 1.0
0.0010406 0.0011544 1.0 0.0010499 0.0011941 1.0
0.0010388 0.0011511 1.0 0.0010494 0.0011945 1.0
0.0010368 0.0011477 1.0 0.0010488 0.0011948 1.0
0.0010347 0.0011441 1.0 0.0010481 0.001195 1.0
0.001042 0.0011507 0.83 0.0010589 0.0012154 1.0
0.0010446 0.0011529 0.83 0.0010621 0.0012199 1.0
0.0010469 0.0011547 0.83 0.0010651 0.0012242 1.0
0.001049 0.0011563 0.83 0.0010679 0.0012283 1.0
0.0010508 0.0011576 0.83 0.0010704 0.001232 1.0
0.0010523 0.0011586 0.83 0.0010728 0.0012355 1.0
0.0010536 0.0011592 0.83 0.0010749 0.0012386 1.0
0.0010547 0.0011596 0.83 0.0010767 0.0012415 1.0
0.0010555 0.0011596 0.83 0.0010784 0.0012441 1.0
0.0010561 0.0011594 0.83 0.0010798 0.0012465 1.0
0.0010564 0.0011588 0.83 0.001081 0.0012485 1.0
0.0010565 0.001158 0.83 0.001082 0.0012503 1.0
0.0010563 0.0011568 0.83 0.0010827 0.0012518 1.0
0.0010559 0.0011553 0.83 0.0010833 0.0012529 1.0
0.0010552 0.0011535 0.83 0.0010836 0.0012539 1.0
0.0010543 0.0011514 0.83 0.0010836 0.0012545 1.0
0.0010532 0.001149 0.83 0.0010835 0.0012549 1.0
0.0010518 0.0011463 0.83 0.0010831 0.0012549 1.0
0.0010501 0.0011433 0.83 0.0010825 0.0012547 1.0
0.0010482 0.00114 0.83 0.0010817 0.0012542 1.0
0.0010461 0.0011363 0.83 0.0010807 0.0012534 1.0
0.0010437 0.0011324 0.83 0.0010794 0.0012524 1.0
0.0010411 0.0011281 0.83 0.0010779 0.001251 1.0
0.0010382 0.0011236 0.83 0.0010762 0.0012494 1.0
0.001035 0.0011187 0.83 0.0010743 0.0012475 1.0
0.0010317 0.0011136 0.83 0.0010721 0.0012453 1.0
0.001028 0.0011081 0.83 0.0010698 0.0012429 1.0
0.0010242 0.0011023 0.83 0.0010672 0.0012401 1.0
0.00102 0.0010962 0.83 0.0010643 0.0012371 1.0
0.0010157 0.0010898 0.83 0.0010613 0.0012338 1.0
0.0010111 0.0010831 0.83 0.001058 0.0012302 1.0
0.0010062 0.0010761 0.83 0.0010545 0.0012263 1.0
0.0010011 0.0010688 0.83 0.0010508 0.0012221 1.0
0.00099573 0.0010612 0.83 0.0010468 0.0012177 1.0
0.00099012 0.0010533 0.83 0.0010426 0.001213 1.0
0.00098427 0.001045 0.83 0.0010383 0.001208 1.0
0.00097818 0.0010365 0.83 0.0010336 0.0012027 1.0
0.00097183 0.0010277 0.83 0.0010288 0.0011971 1.0
0.00096524 0.0010185 0.83 0.0010237 0.0011913 1.0
0.00095841 0.001009 0.83 0.0010184 0.0011851 1.0
0.00095132 0.00099927 0.83 0.0010129 0.0011787 1.0
0.00094399 0.0009892 0.83 0.0010072 0.001172 1.0
0.00093641 0.00097882 0.83 0.0010012 0.001165 1.0
0.00092859 0.00096813 0.83 0.00099503 0.0011578 1.0
0.00092051 0.00095714 0.83 0.00098862 0.0011502 1.0
0.0009122 0.00094584 0.83 0.00098198 0.0011424 1.0
0.00090363 0.00093423 0.83 0.00097512 0.0011343 1.0
0.00089482 0.00092232 0.83 0.00096804 0.0011259 1.0
0.00088576 0.0009101 0.83 0.00096074 0.0011172 1.0
0.00087645 0.00089757 0.83 0.00095321 0.0011083 1.0
0.00082386 0.00082983 0.29 0.00091117 0.0010607 0.67
0.00081525 0.00081786 0.29 0.00090481 0.0010537 0.67
0.00080681 0.00080613 0.29 0.00089857 0.0010467 0.67
0.00079853 0.00079463 0.29 0.00089243 0.0010399 0.67
0.00079042 0.00078337 0.29 0.0008864 0.0010331 0.67
0.00078249 0.00077235 0.29 0.00088047 0.0010265 0.67
0.00077472 0.00076156 0.29 0.00087466 0.0010199 0.67
0.00076712 0.000751 0.29 0.00086895 0.0010135 0.67
0.00075969 0.00074068 0.29 0.00086335 0.0010072 0.67
0.00075242 0.0007306 0.29 0.00085785 0.0010009 0.67
